group,candidate,species,reactions,fuel_observable,count,success,E_full_group,E_success_subset
GPT 普通 Solo,candidate_2,87,513,ch3cho/laminar_flame_speed,15,15,1.7605946817937996,1.7605946817937996
GPT 普通 Solo,candidate_2,87,513,ch3oh/ignition_delay,8,8,15.475306730186366,15.475306730186366
GPT 普通 Solo,candidate_2,87,513,ch3oh/laminar_flame_speed,12,12,3.868743577622214,3.868743577622214
GPT 普通 Solo,candidate_2,87,513,ch4/ignition_delay,35,35,3.3471083924772747,3.3471083924772747
GPT 普通 Solo,candidate_2,87,513,ch4/laminar_flame_speed,13,13,1.673936807698097,1.673936807698097
GPT 普通 Solo,candidate_2,87,513,h2/laminar_flame_speed,21,21,3.574355851584226,3.574355851584226
GPT 普通 Solo,candidate_2,87,513,h2plusco/laminar_flame_speed,12,12,2.054987081559803,2.054987081559803
GPT 普通 Solo,candidate_2,87,513,ic4h10/laminar_flame_speed,4,4,1.9956974920432424,1.9956974920432424
GPT 普通 Solo,candidate_2,87,513,ic4h8/ignition_delay,28,28,4.76940093448315,4.76940093448315
GPT 普通 Solo,candidate_2,87,513,ic4h8/laminar_flame_speed,18,18,2.319072611086852,2.319072611086852
GPT 普通 Solo,candidate_2,87,513,pc3h4/ignition_delay,26,26,1.6158008119231864,1.6158008119231864
GPT 普通 Solo,candidate_3,81,464,ac3h4/ignition_delay,20,20,2.4674965263736777,2.4674965263736777
GPT 普通 Solo,candidate_3,81,464,c2h2/ignition_delay,9,9,8.834706269951832,8.834706269951832
GPT 普通 Solo,candidate_3,81,464,c2h2/laminar_flame_speed,12,12,2.255585526310709,2.255585526310709
GPT 普通 Solo,candidate_3,81,464,c2h4/ignition_delay,38,38,1.4866977148231744,1.4866977148231744
GPT 普通 Solo,candidate_3,81,464,c2h4/laminar_flame_speed,33,33,1.6311827663490999,1.6311827663490999
GPT 普通 Solo,candidate_3,81,464,c2h6/ignition_delay,42,42,3.8968262778689216,3.8968262778689216
GPT 普通 Solo,candidate_3,81,464,c2h6/laminar_flame_speed,55,55,2.0192031712447065,2.0192031712447065
GPT 普通 Solo,candidate_3,81,464,c3h6/ignition_delay,25,25,2.969490421634943,2.969490421634943
